町名,よみ,グループ
曙一丁目,あけぼの1ちょうめ,1
曙二丁目,あけぼの2ちょうめ,1
曙三丁目,あけぼの3ちょうめ,1
曙四丁目,あけぼの4ちょうめ,1
曙五丁目,あけぼの5ちょうめ,1
愛宕町,あたごまち,1
牛田旭一丁目,うしたあさひ1ちょうめ,6
牛田旭二丁目,うしたあさひ2ちょうめ,6
牛田新町一丁目,うしたしんまち1ちょうめ,7
牛田新町二丁目,うしたしんまち2ちょうめ,6
牛田新町三丁目,うしたしんまち3ちょうめ,5
牛田新町四丁目,うしたしんまち4ちょうめ,7
牛田中一丁目,うしたなか1ちょうめ,9
牛田中二丁目,うしたなか2ちょうめ,9
牛田東一丁目,うしたひがし1ちょうめ,8
牛田東二丁目,うしたひがし2ちょうめ,8
牛田東三丁目,うしたひがし3ちょうめ,8
牛田東四丁目,うしたひがし4ちょうめ,8
牛田本町一丁目,うしたほんまち1ちょうめ,8
牛田本町二丁目,うしたほんまち2ちょうめ,8
牛田本町三丁目,うしたほんまち3ちょうめ,8
牛田本町四丁目,うしたほんまち4ちょうめ,4
牛田本町五丁目,うしたほんまち5ちょうめ,4
牛田本町六丁目,うしたほんまち6ちょうめ,4
牛田南一丁目,うしたみなみ1ちょうめ,8
牛田南二丁目,うしたみなみ2ちょうめ,8
牛田山,うしたやま,5
牛田早稲田一丁目,うしたわせだ1ちょうめ,9
牛田早稲田二丁目,うしたわせだ2ちょうめ,9
牛田早稲田三丁目,うしたわせだ3ちょうめ,9
牛田早稲田四丁目,うしたわせだ4ちょうめ,9
馬木一丁目,うまき1ちょうめ,20
馬木二丁目,うまき2ちょうめ,20
馬木三丁目,うまき3ちょうめ,18
馬木四丁目,うまき4ちょうめ,18
馬木五丁目,うまき5ちょうめ,19
馬木六丁目,うまき6ちょうめ,19
馬木七丁目,うまき7ちょうめ,18
馬木八丁目,うまき8ちょうめ,18
馬木九丁目,うまき9ちょうめ,18
馬木町,うまきちょう,18
尾長西一丁目,おながにし1ちょうめ,1
尾長西二丁目,おながにし2ちょうめ,1
尾長東一丁目,おながひがし1ちょうめ,1
尾長東二丁目,おながひがし2ちょうめ,1
尾長東三丁目,おながひがし3ちょうめ,1
尾長町,おながまち,3
上大須賀町,かみおおすがちょう,3
上温品１丁目（県道西側）,かみぬくしな1ちょうめ（けんどうにしがわ）,17
上温品１丁目（県道東側）,かみぬくしな1ちょうめ（けんどうひがしがわ）,21
上温品二丁目,かみぬくしな2ちょうめ,20
上温品三丁目,かみぬくしな3ちょうめ,20
上温品四丁目,かみぬくしな4ちょうめ,21
中山鏡が丘,なかやまかがみがおか,11
中山上一丁目,なかやまかみ1ちょうめ,11
中山上二丁目,なかやまかみ2ちょうめ,11
中山北町,なかやまきたまち,11
中山新町一丁目,なかやましんまち1ちょうめ,11
中山新町二丁目,なかやましんまち2ちょうめ,11
中山新町三丁目,なかやましんまち3ちょうめ,11
中山中町,なかやまなかまち,14
中山西一丁目,なかやまにし1ちょうめ,15
中山西二丁目,なかやまにし2ちょうめ,15
中山東一丁目,なかやまひがし1ちょうめ,15
中山東二丁目,なかやまひがし2ちょうめ,15
中山東三丁目,なかやまひがし3ちょうめ,15
中山南一丁目,なかやまみなみ1ちょうめ,15
中山南二丁目,なかやまみなみ2ちょうめ,15
温品一丁目,ぬくしな1ちょうめ,16
温品二丁目,ぬくしな2ちょうめ,21
温品三丁目,ぬくしな3ちょうめ,21
温品四丁目,ぬくしな4ちょうめ,16
"温品五丁目(3,21,22,23,24,25,26番街区)",ぬくしな5ちょうめ（3ばん・4ばん）,16
"温品五丁目(3,21,22,23,24,25,26番街区以外)",ぬくしな5ちょうめ（3ばん・4ばんいがい）,17
温品六丁目,ぬくしな6ちょうめ,17
温品七丁目,ぬくしな7ちょうめ,21
温品八丁目,ぬくしな8ちょうめ,21
温品町（県道西側）,ぬくしなちょう（けんどうにしがわ）,20
温品町（県道東側）,ぬくしなちょう（けんどうひがしがわ）,21
東蟹屋町,ひがしかにやちょう,1
東山町,ひがしやまちょう,2
光が丘,ひかりがおか,3
光町一丁目,ひかりまち1ちょうめ,3
光町二丁目,ひかりまち2ちょうめ,3
福田一丁目,ふくだ1ちょうめ,19
福田二丁目,ふくだ2ちょうめ,19
福田三丁目,ふくだ3ちょうめ,22
福田四丁目,ふくだ4ちょうめ,23
福田五丁目,ふくだ5ちょうめ,23
福田六丁目,ふくだ6ちょうめ,23
福田七丁目,ふくだ7ちょうめ,23
福田八丁目,ふくだ8ちょうめ,23
福田町（西側）,ふくだちょう（にしがわ）,23
福田町（東側）,ふくだちょう（ひがしがわ）,22
二葉の里一丁目,ふたばのさと1ちょうめ,3
二葉の里二丁目,ふたばのさと2ちょうめ,3
二葉の里三丁目,ふたばのさと3ちょうめ,3
戸坂出江一丁目,へさかいづえ1ちょうめ,13
戸坂出江二丁目,へさかいづえ2ちょうめ,13
戸坂大上一丁目,へさかおおあげ1ちょうめ,13
戸坂大上二丁目,へさかおおあげ2ちょうめ,13
戸坂大上三丁目,へさかおおあげ3ちょうめ,13
戸坂大上四丁目,へさかおおあげ4ちょうめ,13
戸坂数甲一丁目,へさかかずこう1ちょうめ,13
戸坂数甲二丁目,へさかかずこう2ちょうめ,13
戸坂くるめ木一丁目,へさかくるめぎ1ちょうめ,12
戸坂くるめ木二丁目,へさかくるめぎ2ちょうめ,12
戸坂桜上町,へさかさくらうえまち,13
戸坂桜西町,へさかさくらにしまち,13
戸坂桜東町,へさかさくらひがしまち,13
戸坂城山町,へさかしろやまちょう,13
戸坂新町一丁目,へさかしんまち1ちょうめ,10
戸坂新町二丁目,へさかしんまち2ちょうめ,10
戸坂新町三丁目,へさかしんまち3ちょうめ,10
戸坂千足一丁目,へさかせんぞく1ちょうめ,12
戸坂千足二丁目,へさかせんぞく2ちょうめ,12
戸坂惣田一丁目,へさかそうだ1ちょうめ,13
戸坂惣田二丁目,へさかそうだ2ちょうめ,13
戸坂町,へさかちょう,13
戸坂長尾台,へさかながおだい,13
戸坂中町,へさかなかまち,12
戸坂南一丁目,へさかみなみ1ちょうめ,10
戸坂南二丁目,へさかみなみ2ちょうめ,10
戸坂山崎町,へさかやまさきちょう,12
戸坂山根一丁目,へさかやまね1ちょうめ,12
戸坂山根二丁目,へさかやまね2ちょうめ,13
戸坂山根三丁目,へさかやまね3ちょうめ,13
矢賀一丁目,やが1ちょうめ,2
矢賀二丁目,やが2ちょうめ,2
矢賀三丁目,やが3ちょうめ,2
矢賀四丁目,やが4ちょうめ,2
矢賀五丁目,やが5ちょうめ,2
矢賀六丁目,やが6ちょうめ,2
矢賀新町一丁目,やがしんまち1ちょうめ,2
矢賀新町二丁目,やがしんまち2ちょうめ,2
矢賀新町三丁目,やがしんまち3ちょうめ,2
矢賀新町四丁目,やがしんまち4ちょうめ,2
矢賀新町五丁目,やがしんまち5ちょうめ,2
矢賀町,やがまち,3
山根町,やまねちょう,3
若草町,わかくさちょう,1
