町名,よみ,グループ
相田一丁目,あいた1ちょうめ,6
相田二丁目,あいた2ちょうめ,6
相田三丁目,あいた3ちょうめ,6
相田四丁目,あいた4ちょうめ,6
相田五丁目,あいた5ちょうめ,6
相田六丁目,あいた6ちょうめ,6
相田七丁目,あいた7ちょうめ,6
相田町,あいたちょう,6
大塚西一丁目,おおつかにし1ちょうめ,10
大塚西二丁目,おおつかにし2ちょうめ,10
大塚西三丁目(A-CITY、シーズンズ・フレンズ自治会),おおつかにし3ちょうめ(A-CITY、シーズンズ・フレンズ),11
大塚西三丁目(A-CITY、シーズンズ・フレンズ自治会除く),おおつかにし3ちょうめ(A-CITY、シーズンズ・フレンズのぞく),10
大塚西四丁目,おおつかにし4ちょうめ,10
大塚西五丁目,おおつかにし5ちょうめ,11
大塚西六丁目,おおつかにし6ちょうめ,11
大塚西七丁目,おおつかにし7ちょうめ,11
大塚西町,おおつかにしまち,11
大塚東一丁目,おおつかひがし1ちょうめ,10
大塚東二丁目,おおつかひがし2ちょうめ,10
大塚東三丁目,おおつかひがし3ちょうめ,10
大塚東町,おおつかひがしまち,10
大町西一丁目,おおまちにし1ちょうめ,6
大町西二丁目,おおまちにし2ちょうめ,6
大町西三丁目,おおまちにし3ちょうめ,6
大町東一丁目,おおまちひがし1ちょうめ,3
大町東二丁目,おおまちひがし2ちょうめ,3
大町東三丁目,おおまちひがし3ちょうめ,3
大町東四丁目,おおまちひがし4ちょうめ,3
上安一丁目,かみやす1ちょうめ,13
上安二丁目,かみやす2ちょうめ,13
上安三丁目,かみやす3ちょうめ,13
上安四丁目,かみやす4ちょうめ,13
上安五丁目,かみやす5ちょうめ,13
上安六丁目,かみやす6ちょうめ,13
上安七丁目,かみやす7ちょうめ,13
川内一丁目,かわうち1ちょうめ,6
川内二丁目,かわうち2ちょうめ,6
川内三丁目,かわうち3ちょうめ,6
川内四丁目,かわうち4ちょうめ,6
川内五丁目,かわうち5ちょうめ,16
川内六丁目,かわうち6ちょうめ,16
祇園一丁目,ぎおん1ちょうめ,5
祇園二丁目,ぎおん2ちょうめ,5
祇園三丁目,ぎおん3ちょうめ,5
祇園四丁目,ぎおん4ちょうめ,5
祇園五丁目,ぎおん5ちょうめ,5
祇園六丁目,ぎおん6ちょうめ,5
祇園七丁目,ぎおん7ちょうめ,5
祇園八丁目,ぎおん8ちょうめ,5
高取北一丁目,たかとりきた1ちょうめ,14
高取北二丁目,たかとりきた2ちょうめ,14
高取北三丁目,たかとりきた3ちょうめ,14
高取北四丁目,たかとりきた4ちょうめ,14
高取南一丁目,たかとりみなみ1ちょうめ,6
高取南二丁目,たかとりみなみ2ちょうめ,6
高取南三丁目,たかとりみなみ3ちょうめ,6
高取南町,たかとりみなみまち,6
長楽寺一丁目,ちょうらくじ1ちょうめ,11
長楽寺二丁目,ちょうらくじ2ちょうめ,11
長楽寺三丁目,ちょうらくじ3ちょうめ,11
伴北一丁目,ともきた1ちょうめ,9
伴北二丁目,ともきた2ちょうめ,9
伴北三丁目,ともきた3ちょうめ,9
伴北四丁目,ともきた4ちょうめ,9
伴北五丁目,ともきた5ちょうめ,9
伴北六丁目,ともきた6ちょうめ,9
伴北七丁目,ともきた7ちょうめ,9
伴北町,ともきたまち,9
伴中央一丁目,ともちゅうおう1ちょうめ,10
伴中央二丁目,ともちゅうおう2ちょうめ,10
伴中央三丁目,ともちゅうおう3ちょうめ,9
伴中央四丁目,ともちゅうおう4ちょうめ,10
伴中央五丁目,ともちゅうおう5ちょうめ,10
伴中央六丁目,ともちゅうおう6ちょうめ,10
伴中央七丁目,ともちゅうおう7ちょうめ,10
伴西一丁目,ともにし1ちょうめ,9
伴西二丁目,ともにし2ちょうめ,9
伴西三丁目,ともにし3ちょうめ,9
伴西四丁目,ともにし4ちょうめ,9
伴西五丁目,ともにし5ちょうめ,9
伴西六丁目,ともにし6ちょうめ,9
伴西町,ともにしまち,9
伴東一丁目,ともひがし1ちょうめ,9
伴東二丁目,ともひがし2ちょうめ,9
伴東三丁目,ともひがし3ちょうめ,9
伴東四丁目,ともひがし4ちょうめ,9
伴東五丁目,ともひがし5ちょうめ,10
伴東六丁目,ともひがし6ちょうめ,10
伴東七丁目,ともひがし7ちょうめ,10
伴東八丁目,ともひがし8ちょうめ,10
伴東町,ともひがしまち,10
伴南一丁目,ともみなみ1ちょうめ,11
伴南二丁目,ともみなみ2ちょうめ,11
伴南三丁目,ともみなみ3ちょうめ,11
伴南四丁目,ともみなみ4ちょうめ,11
伴南五丁目,ともみなみ5ちょうめ,11
中須一丁目,なかす1ちょうめ,3
中須二丁目,なかす2ちょうめ,3
中筋一丁目,なかすじ1ちょうめ,4
中筋二丁目,なかすじ2ちょうめ,4
中筋三丁目,なかすじ3ちょうめ,4
中筋四丁目,なかすじ4ちょうめ,8
長束一丁目,ながつか1ちょうめ,1
