町名,よみ,グループ
阿戸町,あとちょう,11
上瀬野一丁目,かみせの1ちょうめ,1
上瀬野二丁目,かみせの2ちょうめ,1
上瀬野町,かみせのちょう,1
上瀬野南一丁目,かみせのみなみ1ちょうめ,1
上瀬野南二丁目,かみせのみなみ2ちょうめ,1
瀬野一丁目,せの1ちょうめ,2
瀬野二丁目,せの2ちょうめ,2
瀬野三丁目,せの3ちょうめ,2
瀬野四丁目,せの4ちょうめ,2
瀬野五丁目,せの5ちょうめ,2
瀬野町,せのちょう,2
瀬野西一丁目,せのにし1ちょうめ,2
瀬野西二丁目,せのにし2ちょうめ,2
瀬野西三丁目,せのにし3ちょうめ,2
瀬野西四丁目,せのにし4ちょうめ,2
瀬野西五丁目,せのにし5ちょうめ,2
瀬野西六丁目,せのにし6ちょうめ,2
瀬野南一丁目,せのみなみ1ちょうめ,1
瀬野南町,せのみなみまち,1
中野一丁目,なかの1ちょうめ,7
中野二丁目,なかの2ちょうめ,7
中野三丁目,なかの3ちょうめ,7
中野四丁目,なかの4ちょうめ,4
中野五丁目,なかの5ちょうめ,4
中野六丁目,なかの6ちょうめ,4
中野七丁目,なかの7ちょうめ,4
中野町,なかのちょう,4
中野東一丁目,なかのひがし1ちょうめ,3
中野東二丁目,なかのひがし2ちょうめ,3
中野東三丁目,なかのひがし3ちょうめ,3
中野東四丁目,なかのひがし4ちょうめ,3
中野東五丁目,なかのひがし5ちょうめ,3
中野東六丁目,なかのひがし6ちょうめ,4
中野東七丁目,なかのひがし7ちょうめ,4
中野東町,なかのひがしまち,4
畑賀一丁目,はたか1ちょうめ,7
畑賀二丁目,はたか2ちょうめ,7
畑賀三丁目,はたか3ちょうめ,7
畑賀町,はたかちょう,7
船越一丁目,ふなこし1ちょうめ,5
船越二丁目,ふなこし2ちょうめ,5
船越三丁目,ふなこし3ちょうめ,5
船越四丁目,ふなこし4ちょうめ,5
船越五丁目,ふなこし5ちょうめ,5
船越六丁目,ふなこし6ちょうめ,5
船越南一丁目,ふなこしみなみ1ちょうめ,6
船越南二丁目,ふなこしみなみ2ちょうめ,6
船越南三丁目,ふなこしみなみ3ちょうめ,6
船越南四丁目,ふなこしみなみ4ちょうめ,6
船越南五丁目,ふなこしみなみ5ちょうめ,6
矢野新町一丁目,やのしんまち1ちょうめ,12
矢野新町二丁目,やのしんまち2ちょうめ,12
矢野町,やのちょう,9
矢野西一丁目,やのにし1ちょうめ,10
矢野西二丁目,やのにし2ちょうめ,12
矢野西三丁目,やのにし3ちょうめ,10
矢野西四丁目,やのにし4ちょうめ,10
矢野西五丁目,やのにし5ちょうめ,10
矢野西六丁目,やのにし6ちょうめ,10
矢野西七丁目,やのにし7ちょうめ,10
矢野東一丁目,やのひがし1ちょうめ,9
矢野東二丁目,やのひがし2ちょうめ,9
矢野東三丁目,やのひがし3ちょうめ,9
矢野東四丁目,やのひがし4ちょうめ,9
矢野東五丁目,やのひがし5ちょうめ,9
矢野東六丁目,やのひがし6ちょうめ,9
矢野東七丁目,やのひがし7ちょうめ,9
矢野南一丁目,やのみなみ1ちょうめ,8
矢野南二丁目,やのみなみ2ちょうめ,8
矢野南三丁目,やのみなみ3ちょうめ,8
矢野南四丁目,やのみなみ4ちょうめ,8
矢野南五丁目,やのみなみ5ちょうめ,8
