町名,よみ,グループ
旭園,あさひえん,3
石内上一丁目,いしうちかみ1ちょうめ,14
石内北一丁目,いしうちきた1ちょうめ,14
石内北二丁目,いしうちきた2ちょうめ,14
石内北三丁目,いしうちきた3ちょうめ,14
石内北四丁目,いしうちきた4ちょうめ,14
石内北五丁目,いしうちきた5ちょうめ,14
石内東一丁目,いしうちひがし1ちょうめ,14
石内東二丁目,いしうちひがし2ちょうめ,14
石内東三丁目,いしうちひがし3ちょうめ,14
石内東四丁目,いしうちひがし4ちょうめ,14
石内南一丁目,いしうちみなみ1ちょうめ,14
石内南二丁目,いしうちみなみ2ちょうめ,14
石内南三丁目,いしうちみなみ3ちょうめ,14
石内南四丁目,いしうちみなみ4ちょうめ,14
石内南五丁目,いしうちみなみ5ちょうめ,14
五日市一丁目,いつかいち1ちょうめ,5
五日市二丁目,いつかいち2ちょうめ,5
五日市三丁目,いつかいち3ちょうめ,5
五日市四丁目,いつかいち4ちょうめ,5
五日市五丁目,いつかいち5ちょうめ,5
五日市六丁目,いつかいち6ちょうめ,5
五日市七丁目,いつかいち7ちょうめ,5
五日市駅前一丁目,いつかいちえきまえ1ちょうめ,10
五日市駅前二丁目,いつかいちえきまえ2ちょうめ,10
五日市駅前三丁目,いつかいちえきまえ3ちょうめ,10
五日市港一丁目,いつかいちこう1ちょうめ,3
五日市港二丁目,いつかいちこう2ちょうめ,3
五日市港三丁目,いつかいちこう3ちょうめ,3
五日市港四丁目,いつかいちこう4ちょうめ,3
五日市中央一丁目,いつかいちちゅうおう1ちょうめ,8
五日市中央二丁目,いつかいちちゅうおう2ちょうめ,8
五日市中央三丁目,いつかいちちゅうおう3ちょうめ,8
五日市中央四丁目,いつかいちちゅうおう4ちょうめ,5
五日市中央五丁目,いつかいちちゅうおう5ちょうめ,5
五日市中央六丁目,いつかいちちゅうおう6ちょうめ,5
五日市中央七丁目,いつかいちちゅうおう7ちょうめ,5
五日市町石内,いつかいちちょういしうち,14
五日市町上河内,いつかいちちょうかみごうち,16
五日市町上小深川,いつかいちちょうかみこぶかわ,16
五日市町下河内,いつかいちちょうしもごうち,16
五日市町下小深川,いつかいちちょうしもこぶかわ,16
五日市町昭和台,いつかいちちょうしょうわだい,11
五日市町美鈴園,いつかいちちょうみすずえん,11
五日市町皆賀,いつかいちちょうみなが,11
海老園一丁目,かいろうえん1ちょうめ,3
海老園二丁目,かいろうえん2ちょうめ,3
海老園三丁目,かいろうえん3ちょうめ,3
海老園四丁目,かいろうえん4ちょうめ,3
海老山町,かいろうやまちょう,3
海老山南一丁目,かいろうやまみなみ1ちょうめ,3
海老山南二丁目,かいろうやまみなみ2ちょうめ,3
観音台一丁目,かんのんだい1ちょうめ,7
観音台二丁目,かんのんだい2ちょうめ,6
観音台三丁目,かんのんだい3ちょうめ,6
観音台四丁目,かんのんだい4ちょうめ,6
倉重一丁目,くらしげ1ちょうめ,6
倉重二丁目,くらしげ2ちょうめ,6
倉重三丁目,くらしげ3ちょうめ,6
河内南一丁目,こうちみなみ1ちょうめ,15
河内南二丁目,こうちみなみ2ちょうめ,15
五月が丘一丁目,さつきがおか1ちょうめ,14
五月が丘二丁目,さつきがおか2ちょうめ,14
五月が丘三丁目,さつきがおか3ちょうめ,14
五月が丘四丁目,さつきがおか4ちょうめ,14
五月が丘五丁目,さつきがおか5ちょうめ,14
城山一丁目,じょうやま1ちょうめ,6
城山二丁目,じょうやま2ちょうめ,6
新宮苑,しんぐうえん,10
隅の浜一丁目,すみのはま1ちょうめ,2
隅の浜二丁目,すみのはま2ちょうめ,2
隅の浜三丁目,すみのはま3ちょうめ,2
千同一丁目,せんどう1ちょうめ,6
千同二丁目,せんどう2ちょうめ,6
千同三丁目,せんどう3ちょうめ,6
坪井一丁目,つぼい1ちょうめ,7
坪井二丁目,つぼい2ちょうめ,7
坪井三丁目,つぼい3ちょうめ,7
坪井町,つぼいちょう,7
藤垂園,とうすいえん,3
利松一丁目,としまつ1ちょうめ,13
利松二丁目,としまつ2ちょうめ,14
利松三丁目,としまつ3ちょうめ,14
藤の木一丁目,ふじのき1ちょうめ,9
藤の木二丁目,ふじのき2ちょうめ,9
藤の木三丁目,ふじのき3ちょうめ,9
藤の木四丁目,ふじのき4ちょうめ,9
三筋一丁目,みすじ1ちょうめ,2
三筋二丁目,みすじ2ちょうめ,2
三筋三丁目,みすじ3ちょうめ,2
美鈴が丘西一丁目,みすずがおかにし1ちょうめ,12
美鈴が丘西二丁目,みすずがおかにし2ちょうめ,12
美鈴が丘西三丁目,みすずがおかにし3ちょうめ,12
美鈴が丘西四丁目,みすずがおかにし4ちょうめ,12
美鈴が丘西五丁目,みすずがおかにし5ちょうめ,12
美鈴が丘東一丁目,みすずがおかひがし1ちょうめ,12
美鈴が丘東二丁目,みすずがおかひがし2ちょうめ,12
美鈴が丘東三丁目,みすずがおかひがし3ちょうめ,12
美鈴が丘東四丁目,みすずがおかひがし4ちょうめ,12
美鈴が丘東五丁目,みすずがおかひがし5ちょうめ,12
美鈴が丘緑一丁目,みすずがおかみどり1ちょうめ,12
美鈴が丘緑二丁目,みすずがおかみどり2ちょうめ,12
美鈴が丘緑三丁目,みすずがおかみどり3ちょうめ,12
美鈴が丘南一丁目,みすずがおかみなみ1ちょうめ,12
美鈴が丘南二丁目,みすずがおかみなみ2ちょうめ,12
美鈴が丘南三丁目,みすずがおかみなみ3ちょうめ,12
美鈴が丘南四丁目,みすずがおかみなみ4ちょうめ,12
皆賀一丁目,みなが1ちょうめ,10
皆賀二丁目,みなが2ちょうめ,10
皆賀三丁目,みなが3ちょうめ,10
皆賀四丁目,みなが4ちょうめ,10
美の里一丁目,みのり1ちょうめ,2
美の里二丁目,みのり2ちょうめ,2
三宅一丁目,みやけ1ちょうめ,7
三宅二丁目,みやけ2ちょうめ,7
三宅三丁目,みやけ3ちょうめ,7
三宅四丁目,みやけ4ちょうめ,7
三宅五丁目,みやけ5ちょうめ,7
三宅六丁目,みやけ6ちょうめ,7
三宅町,みやけちょう,7
薬師が丘一丁目,やくしがおか1ちょうめ,6
薬師が丘二丁目,やくしがおか2ちょうめ,6
薬師が丘三丁目,やくしがおか3ちょうめ,6
薬師が丘四丁目,やくしがおか4ちょうめ,6
屋代一丁目,やしろ1ちょうめ,1
屋代二丁目,やしろ2ちょうめ,1
屋代三丁目,やしろ3ちょうめ,1
屋代町,やしろちょう,1
八幡一丁目,やはた1ちょうめ,13
八幡二丁目,やはた2ちょうめ,13
八幡三丁目,やはた3ちょうめ,13
八幡四丁目,やはた4ちょうめ,13
八幡五丁目,やはた5ちょうめ,13
八幡が丘一丁目,やはたがおか1ちょうめ,13
八幡が丘二丁目,やはたがおか2ちょうめ,13
八幡東一丁目,やはたひがし1ちょうめ,13
八幡東二丁目,やはたひがし2ちょうめ,13
八幡東三丁目,やはたひがし3ちょうめ,13
八幡東四丁目,やはたひがし4ちょうめ,13
粟柱町内会,ゆき（あわばしらちょうないかい）,20
石ヶ原町内会,ゆき（いしがはらちょうないかい）,20
宇佐町内会,ゆき（うさちょうないかい）,18
大古谷大野原町内会,ゆき（おおこやおおのはらちょうないかい）,17
大谷町内会,ゆき（おおだにちょうないかい）,20
大野町内会,ゆき（おおのちょうないかい）,21
大畑町内会,ゆき（おおばたちょうないかい）,21
大山町内会,ゆき（おおやまちょうないかい）,21
小多田町内会,ゆき（おただちょうないかい）,20
鹿の道町内会,ゆき（かのちちょうないかい）,21
上五原一町内会,ゆき（かみいつはら1ちょうないかい）,18
上五原ニ町内会,ゆき（かみいつはら2ちょうないかい）,18
上打尾谷一町内会,ゆき（かみうつおだに1ちょうないかい）,20
上打尾谷ニ町内会,ゆき（かみうつおだに2ちょうないかい）,20
上田布町内会,ゆき（かみたぶちょうないかい）,20
上本多田町内会,ゆき（かみほんただちょうないかい）,20
上麦谷一町内会,ゆき（かみむぎたに1ちょうないかい）,20
上麦谷ニ町内会,ゆき（かみむぎたに2ちょうないかい）,20
北谷町内会,ゆき（きたたにちょうないかい）,21
雲出町内会,ゆき（くもでちょうないかい）,20
来栖根町内会,ゆき（くるすねちょうないかい）,20
木末町内会,ゆき（こずえちょうないかい）,17
小伏原町内会,ゆき（こぶしはらちょうないかい）,21
志井町内会,ゆき（しいちょうないかい）,20
重光町内会,ゆき（しげみつちょうないかい）,21
下五原一町内会,ゆき（しもいつはら1ちょうないかい）,18
下五原ニ町内会,ゆき（しもいつはら2ちょうないかい）,18
下打尾谷一町内会,ゆき（しもうつおだに1ちょうないかい）,20
下打尾谷ニ町内会,ゆき（しもうつおだに2ちょうないかい）,20
下打尾谷三町内会,ゆき（しもうつおだに3ちょうないかい）,20
下川角町内会,ゆき（しもかわすみちょうないかい）,17
下田布町内会,ゆき（しもたぶちょうないかい）,20
下伏町内会,ゆき（しもふしちょうないかい）,21
下本多田町内会,ゆき（しもほんただちょうないかい）,20
白砂台町内会,ゆき（しらさごだいちょうないかい）,21
志割町内会,ゆき（しわりちょうないかい）,20
杉並台,ゆき（すぎなみだい）,19
葛郷町内会,ゆき（つづごうちょうないかい）,17
津伏町内会,ゆき（つぶしちょうないかい）,18
土井町内会,ゆき（どいちょうないかい）,17
峠町内会,ゆき（とうげちょうないかい）,17
中川角町内会,ゆき（なかかわすみちょうないかい）,17
中組町内会,ゆき（なかぐみちょうないかい）,20
中本多田町内会,ゆき（なかほんただちょうないかい）,20
ハーブヒルズ町内会,ゆき（は-ぶひるずちょうないかい）,17
日浦畑町内会,ゆき（ひうらばたちょうないかい）,17
東川角町内会,ゆき（ひがしかわすみちょうないかい）,17
久日市町内会,ゆき（ひさかいちちょうないかい）,18
日入谷町内会,ゆき（ひのいたにちょうないかい）,20
伏郷町内会,ゆき（ふしごうちょうないかい）,21
古塚町内会,ゆき（ふるつかちょうないかい）,21
向井谷町内会,ゆき（むかいだにちょうないかい）,20
麦谷下一町内会,ゆき（むぎたにしも1ちょうないかい）,18
麦谷下ニ町内会,ゆき（むぎたにしも2ちょうないかい）,18
八幡原共同町内会,ゆき（やはたばらきょうどうちょうないかい）,21
湯来町内会,ゆき（ゆきちょうないかい）,20
湯来ハイランド町内会,ゆき（ゆきはいらんどちょうないかい）,21
棡町内会,ゆき（ゆずりはちょうないかい）,21
和田一町内会,ゆき（わだ1ちょうないかい）,20
和田ニ町内会,ゆき（わだ2ちょうないかい）,20
和田三町内会,ゆき（わだ3ちょうないかい）,20
和田四町内会,ゆき（わだ4ちょうないかい）,20
吉見園,よしみえん,3
楽々園一丁目,らくらくえん1ちょうめ,4
楽々園二丁目,らくらくえん2ちょうめ,4
楽々園三丁目,らくらくえん3ちょうめ,4
楽々園四丁目,らくらくえん4ちょうめ,4
楽々園五丁目,らくらくえん5ちょうめ,4
楽々園六丁目,らくらくえん6ちょうめ,4
